Liednummer(neu)	Liednummer(alt)	Titel
772	233,4	Christus ist unser Osterlamm, VI (Kv)
629,6	174	Christus Jesus war Gott gleich (Phil 2) / Jesus Christus ist der Herr (geändert)
629,6	694	Christus Jesus war Gott gleich (Phil 2) / Jesus Christus ist der Herr (geändert)
733,1	n.v.	Christus kommt, maranatha (Kanon)
560	564	Christus Sieger (vollständig)
629,5	564	Christus Sieger, V/VI (einf. Ruf)
287	176,3	Christus war für uns gehorsam bis zum Tod, II (Kv, geändert)
287	203,2	Christus war für uns gehorsam bis zum Tod, II (Kv, geändert)
657,5	176,3	Christus war für uns gehorsam bis zum Tod, VI (Kv, geändert)
657,5	203,2	Christus war für uns gehorsam bis zum Tod, VI (Kv, geändert)
507	662	Christus, der ist mein Leben
90	704	Christus, du bist der helle Tag
370	n.v.	Christus, du Herrscher des Himmels und der Erde
546	n.v.	Christus, du Licht vom wahren Licht
616,8	125	Christus, du Sohn des lebendigen Gottes
616,8	679	Christus, du Sohn des lebendigen Gottes
307,7	n.v.	Christus, du Sohn des lebendigen Gottes (Responsorium, Karfreitag)
181,2	n.v.	Christus, erhöre uns (4-stg., Seuffert)
n.v.	446	Christus, Gottes Lamm (Allerheiligen-Messe)
n.v.	442	Christus, Gottes Lamm (Mainzer Dom-Messe)
n.v.	175	Christus, Gotteslamm, Opfer am Kreuzesstamm
n.v.	506	Christus, Herr, erbarme dich
586,5	358,2	Christus, höre uns
n.v.	214	Christus, Sieger über Schuld
618,2	n.v.	Confitemini Domino (4-stg., Taizé)
122	423	Credo (gregorianisch)
177,1	n.v.	Credo (Lécot)
180	n.v.	Credo (Wilson)
n.v.	187	Da Jesus an dem Kreuze stund
473	309	Da pacem Domine (gregorianisch)
88,2	16,9	Dank dir, Vater, für die Gaben (Kanon)
484	634	Dank sei dir, Vater
828	n.v.	Danke für diesen guten Morgen
814	n.v.	Danket dem Herrn, denn er ist gut
n.v.	281,1	Danket dem Herrn, denn er ist gut
n.v.	284,1	Danket dem Herrn, denn er ist gut
444	n.v.	Danket dem Herrn, denn ewig währt seine Liebe, V (Kv)
404	688	Danket dem Herrn, er hat uns erhöht, IX (Kv)
827,3	233,1	Danket dem Herrn, er ist gütig, VI/V (Kv)
827,3	235,1	Danket dem Herrn, er ist gütig, VI/V (Kv)
402	227	Danket Gott, denn er ist gut
406	283	Danket, danket dem Herrn (Kanon)
633,9	154	Dankt dem Vater mit Freude - Kol 1,12-20 (Kv, geändert)
633,8	154	Dankt dem Vater mit Freude (Kv, geändert)
744	154	Dankt dem Vater mit Freude, VIII/III (Kv, ohne Verse)
743	n.v.	Das alte Jahr verflossen ist
n.v.	479	Das Apostolische Glaubensbekenntnis I
771	n.v.	Das Grab ist leer
n.v.	449	Das große Glaubensbekenntnis
498	547	Das Heil der Welt
630,2	686	Das Heil und die Herrlichkeit (Offb 19, geändert)
857	n.v.	Das ist dein Tag
66,1	232,4	Das ist der Tag, den der Herr gemacht, VI (Kv)
66,1	236,1	Das ist der Tag, den der Herr gemacht, VI (Kv)
335	232,4	Das ist der Tag, den der Herr gemacht, VI (Kv)
329	220	Das ist der Tag, den Gott gemacht
n.v.	271	Das ist ein köstlich Ding dem Herren danken
465	n.v.	Das Jahr steht auf der Höhe
726	n.v.	Das Licht einer Kerze
636,1	n.v.	Das Licht leuchet in der Finsternis (Kv)
210	620	Das Weizenkorn muss sterben
255	149,6	Das Wort wurde Fleisch, VIII (Kv, geändert)
728	807	Das Zeichen ist geschehen
389	n.v.	Dass du mich einstimmen lässt
657,3	527,2	Dein Erbarmen, o Herr, II (Kv, geändert)
n.v.	843	Dein Gnad', dein Macht und Herrlichkeit
760	n.v.	Dein ist die Ehre, I (Kv)
381	263	Dein Lob, Herr, ruft der Himmel aus
232	n.v.	Dein Reich komme (Kv)
n.v.	561,2	Dein sind die Himmel, dein ist die Erde
630,4	687	Dein Wort ist Licht und Wahrheit (Doxologie geändert)
n.v.	508	Dein Wort, o Herr, geleitet uns
n.v.	629,1	Deine Heiligen krönst du mit Ehre
880	861	Deinem Heiland, deinem Lehrer
719	n.v.	Deinen Tod, o Herr, verkünden wir (Becker)
201,1	n.v.	Deinen Tod, o Herr, verkünden wir (Janssens)
738	143	Dem Herrn in der Höhe (Weihnachten)
n.v.	209,1	Dem Herrn will ich singen
312,4	209,1	Dem Herrn will ich singen, VIII (Kv)
312,4	680	Dem Herrn will ich singen, VIII (Kv)
624,2	209,1	Dem Herrn will ich singen, VIII (Kv)
624,2	680	Dem Herrn will ich singen, VIII (Kv)
